sku;marca;capacidade_btu;ciclo;familia_linha_refinada;edicao;voltagem;sku_canonico;n_pricetrack
38EZVCA09M5;MIDEA;9000;FRIO;MIDEA-AI-ECOMASTER-9000-F;AI Ecomaster;220V;42EZVCA09M5;764
42EFVCA09M8;MIDEA;9000;FRIO;MIDEA-AI-ECOMASTER-9000-F;AI Ecomaster;110V;42EFVCA09M8;873
42EZVCA09M5;MIDEA;9000;FRIO;MIDEA-AI-ECOMASTER-9000-F;AI Ecomaster;220V;42EZVCA09M5;12968
38EZVQA09M5;MIDEA;9000;QUENTE/FRIO;MIDEA-AI-ECOMASTER-9000-QF;AI Ecomaster;220V;42EZVQA09M5;381
42EZVQA09M5;MIDEA;9000;QUENTE/FRIO;MIDEA-AI-ECOMASTER-9000-QF;AI Ecomaster;220V;42EZVQA09M5;10536
38TBVCA12M5;MIDEA;12000;FRIO;MIDEA-AIRVOLUTION-LITE-12000-F;Airvolution Lite;220V;42EBVCA12M5;355
42EBVCA12M5;MIDEA;12000;FRIO;MIDEA-AIRVOLUTION-LITE-12000-F;Airvolution Lite;220V;42EBVCA12M5;3119
42EBVCA18M5;MIDEA;18000;FRIO;MIDEA-AIRVOLUTION-LITE-18000-F;Airvolution Lite;220V;42EBVCA18M5;3282
42EBVCA22M5;MIDEA;22000;FRIO;MIDEA-AIRVOLUTION-LITE-22000-F;Airvolution Lite;220V;42EBVCA22M5;3063
38TBVCA09M5;MIDEA;9000;FRIO;MIDEA-AIRVOLUTION-LITE-9000-F;Airvolution Lite;220V;42EBVCA09M5;602
42EBVCA09M5;MIDEA;9000;FRIO;MIDEA-AIRVOLUTION-LITE-9000-F;Airvolution Lite;220V;42EBVCA09M5;3261
42AGVCJ12M5;MIDEA;12000;FRIO;MIDEA-XTREME-SAVE-12000-F;Xtreme Save;220V;42AGVCJ12M5;2696
42AGVCI12M5;MIDEA;12000;FRIO;MIDEA-XTREME-SAVE-CONNECT-12000-F;Xtreme Save Connect;220V;42AGVCI12M5;690
42AGVQI12M5;MIDEA;12000;QUENTE/FRIO;MIDEA-XTREME-SAVE-CONNECT-12000-QF;Xtreme Save Connect;220V;42AGVQI12M5;2195
42AGVCI18M5;MIDEA;18000;FRIO;MIDEA-XTREME-SAVE-CONNECT-18000-F;Xtreme Save Connect;220V;42AGVCI18M5;2558
42AGVQI18M5;MIDEA;18000;QUENTE/FRIO;MIDEA-XTREME-SAVE-CONNECT-18000-QF;Xtreme Save Connect;220V;42AGVQI18M5;3124
42AGVCI24M5;MIDEA;24000;FRIO;MIDEA-XTREME-SAVE-CONNECT-24000-F;Xtreme Save Connect;220V;42AGVCI24M5;834
42AGVQI24M5;MIDEA;24000;QUENTE/FRIO;MIDEA-XTREME-SAVE-CONNECT-24000-QF;Xtreme Save Connect;220V;42AGVQI24M5;2073
42AGVCC30M5;MIDEA;30000;FRIO;MIDEA-XTREME-SAVE-CONNECT-30000-F;Xtreme Save Connect;220V;42AGVCC30M5;4375
42AGVQC30M5;MIDEA;30000;QUENTE/FRIO;MIDEA-XTREME-SAVE-CONNECT-30000-QF;Xtreme Save Connect;220V;42AGVQC30M5;2309
42AGVQI09M5;MIDEA;9000;QUENTE/FRIO;MIDEA-XTREME-SAVE-CONNECT-9000-QF;Xtreme Save Connect;220V;42AGVQI09M5;1029
42MGVQI12M5;MIDEA;12000;QUENTE/FRIO;MIDEA-XTREME-SAVE-CONNECT-BLACK-EDITION-12000-QF;Xtreme Save Connect Black Edition;220V;42MGVQI12M5;5867
42MGVQI18M5;MIDEA;18000;QUENTE/FRIO;MIDEA-XTREME-SAVE-CONNECT-BLACK-EDITION-18000-QF;Xtreme Save Connect Black Edition;220V;42MGVQI18M5;8613
42MGVQI24M5;MIDEA;24000;QUENTE/FRIO;MIDEA-XTREME-SAVE-CONNECT-BLACK-EDITION-24000-QF;Xtreme Save Connect Black Edition;220V;42MGVQI24M5;5200
42BQA060510HC;MIDEA;60000;FRIO;;;;42BQA060510HC;114
42ZQVF60M5C;MIDEA;60000;FRIO;;;220V;42ZQVF60M5C;735
38CCVF60515MC;MIDEA;60000;FRIO;;;220V;38CCVF60515MC;228
38CCVF60515MM;MIDEA;60000;FRIO;;;220V;38CCVF60515MM;530
38TVCF18515MC;MIDEA;18000;FRIO;;;220V;38TVCF18515MC;249
PAC12000IFM15;PHILCO;12000;FRIO;PHILCO-ECO-INVERTER-12000-F;Eco Inverter;220V;PAC12FB;2824
PAC12FC;PHILCO;12000;FRIO;PHILCO-ECO-INVERTER-12000-F;Eco Inverter;220V;PAC12FB;774
PAC12FI;PHILCO;12000;FRIO;PHILCO-ECO-INVERTER-12000-F;Eco Inverter;220V;PAC12FB;4589
PAC12FB;PHILCO;12000;FRIO;PHILCO-ECO-INVERTER-12000-F;Eco Inverter;220V;PAC12FB;9929
PAC12QC;PHILCO;12000;QUENTE/FRIO;PHILCO-ECO-INVERTER-12000-QF;Eco Inverter;220V;PAC12QC;5864
PAC12000IQFM15;PHILCO;12000;QUENTE/FRIO;PHILCO-ECO-INVERTER-12000-QF;Eco Inverter;220V;PAC12QC;3273
PAC18000IFM15;PHILCO;18000;FRIO;PHILCO-ECO-INVERTER-18000-F;Eco Inverter;220V;PAC18000IFM15;5148
PAC18FC;PHILCO;18000;FRIO;PHILCO-ECO-INVERTER-18000-F;Eco Inverter;220V;PAC18000IFM15;245
PAC18QA;PHILCO;18000;QUENTE/FRIO;PHILCO-ECO-INVERTER-18000-QF;Eco Inverter;220V;PAC18QA;4140
